0000000000 2025-01-30 01:24:37 [3] Logger initialized successfully
0000000001 2025-01-30 01:24:37 [1] Thread Thread-0 started msg:0
0000000002 2025-01-30 01:24:37 [0] Thread Thread-0 logging DEBUG msg:1
0000000003 2025-01-30 01:24:37 [1] Thread Thread-2 started msg:0
0000000004 2025-01-30 01:24:37 [0] Thread Thread-2 logging DEBUG msg:1
0000000005 2025-01-30 01:24:37 [1] Thread Thread-4 started msg:0
0000000006 2025-01-30 01:24:37 [0] Thread Thread-4 logging DEBUG msg:1
0000000007 2025-01-30 01:24:37 [1] Thread Thread-3 started msg:0
0000000008 2025-01-30 01:24:37 [0] Thread Thread-3 logging DEBUG msg:1
0000000009 2025-01-30 01:24:37 [1] Thread Thread-1 started msg:0
0000000010 2025-01-30 01:24:37 [0] Thread Thread-1 logging DEBUG msg:1
0000000011 2025-01-30 01:24:37 [1] Thread Thread-4 logging INFO  msg:2
0000000012 2025-01-30 01:24:37 [1] Thread Thread-3 logging INFO  msg:2
0000000013 2025-01-30 01:24:37 [1] Thread Thread-0 logging INFO  msg:2
0000000014 2025-01-30 01:24:37 [1] Thread Thread-2 logging INFO  msg:2
0000000015 2025-01-30 01:24:37 [1] Thread Thread-1 logging INFO  msg:2
0000000016 2025-01-30 01:24:37 [2] Thread Thread-4 logging WARN  msg:3
0000000017 2025-01-30 01:24:37 [2] Thread Thread-1 logging WARN  msg:3
0000000018 2025-01-30 01:24:37 [2] Thread Thread-2 logging WARN  msg:3
0000000019 2025-01-30 01:24:37 [2] Thread Thread-3 logging WARN  msg:3
0000000020 2025-01-30 01:24:37 [2] Thread Thread-0 logging WARN  msg:3
0000000021 2025-01-30 01:24:37 [3] Thread Thread-4 logging ERROR msg:4
0000000022 2025-01-30 01:24:37 [3] Thread Thread-2 logging ERROR msg:4
0000000023 2025-01-30 01:24:37 [3] Thread Thread-1 logging ERROR msg:4
0000000024 2025-01-30 01:24:37 [3] Thread Thread-3 logging ERROR msg:4
0000000025 2025-01-30 01:24:37 [3] Thread Thread-0 logging ERROR msg:4
0000000026 2025-01-30 01:24:37 [0] Thread Thread-1 logging DEBUG msg:5
0000000027 2025-01-30 01:24:37 [0] Thread Thread-3 logging DEBUG msg:5
0000000028 2025-01-30 01:24:37 [0] Thread Thread-4 logging DEBUG msg:5
0000000029 2025-01-30 01:24:37 [0] Thread Thread-2 logging DEBUG msg:5
0000000030 2025-01-30 01:24:37 [0] Thread Thread-0 logging DEBUG msg:5
0000000031 2025-01-30 01:24:37 [1] Thread Thread-1 logging INFO  msg:6
0000000032 2025-01-30 01:24:37 [1] Thread Thread-4 logging INFO  msg:6
0000000033 2025-01-30 01:24:37 [1] Thread Thread-3 logging INFO  msg:6
0000000034 2025-01-30 01:24:37 [1] Thread Thread-0 logging INFO  msg:6
0000000035 2025-01-30 01:24:37 [1] Thread Thread-2 logging INFO  msg:6
0000000036 2025-01-30 01:24:37 [2] Thread Thread-3 logging WARN  msg:7
0000000037 2025-01-30 01:24:37 [2] Thread Thread-0 logging WARN  msg:7
0000000038 2025-01-30 01:24:37 [2] Thread Thread-4 logging WARN  msg:7
0000000039 2025-01-30 01:24:37 [2] Thread Thread-1 logging WARN  msg:7
0000000040 2025-01-30 01:24:37 [2] Thread Thread-2 logging WARN  msg:7
0000000041 2025-01-30 01:24:37 [3] Thread Thread-3 logging ERROR msg:8
0000000042 2025-01-30 01:24:37 [3] Thread Thread-0 logging ERROR msg:8
0000000043 2025-01-30 01:24:37 [3] Thread Thread-1 logging ERROR msg:8
0000000044 2025-01-30 01:24:37 [3] Thread Thread-4 logging ERROR msg:8
0000000045 2025-01-30 01:24:37 [3] Thread Thread-2 logging ERROR msg:8
0000000046 2025-01-30 01:24:37 [0] Thread Thread-0 logging DEBUG msg:9
0000000047 2025-01-30 01:24:37 [0] Thread Thread-1 logging DEBUG msg:9
0000000048 2025-01-30 01:24:37 [0] Thread Thread-4 logging DEBUG msg:9
0000000049 2025-01-30 01:24:37 [0] Thread Thread-3 logging DEBUG msg:9
0000000050 2025-01-30 01:24:37 [0] Thread Thread-2 logging DEBUG msg:9
0000000051 2025-01-30 01:24:37 [1] Thread Thread-3 logging INFO  msg:10
0000000052 2025-01-30 01:24:37 [1] Thread Thread-2 logging INFO  msg:10
0000000053 2025-01-30 01:24:37 [1] Thread Thread-4 logging INFO  msg:10
0000000054 2025-01-30 01:24:37 [1] Thread Thread-0 logging INFO  msg:10
0000000055 2025-01-30 01:24:37 [1] Thread Thread-1 logging INFO  msg:10
0000000056 2025-01-30 01:24:37 [2] Thread Thread-4 logging WARN  msg:11
0000000057 2025-01-30 01:24:37 [2] Thread Thread-2 logging WARN  msg:11
0000000058 2025-01-30 01:24:37 [2] Thread Thread-1 logging WARN  msg:11
0000000059 2025-01-30 01:24:37 [2] Thread Thread-3 logging WARN  msg:11
0000000060 2025-01-30 01:24:37 [2] Thread Thread-0 logging WARN  msg:11
0000000061 2025-01-30 01:24:37 [3] Thread Thread-4 logging ERROR msg:12
0000000062 2025-01-30 01:24:37 [3] Thread Thread-2 logging ERROR msg:12
0000000063 2025-01-30 01:24:37 [3] Thread Thread-3 logging ERROR msg:12
0000000064 2025-01-30 01:24:37 [3] Thread Thread-0 logging ERROR msg:12
0000000065 2025-01-30 01:24:37 [3] Thread Thread-1 logging ERROR msg:12
0000000066 2025-01-30 01:24:37 [0] Thread Thread-2 logging DEBUG msg:13
0000000067 2025-01-30 01:24:37 [0] Thread Thread-1 logging DEBUG msg:13
0000000068 2025-01-30 01:24:37 [0] Thread Thread-4 logging DEBUG msg:13
0000000069 2025-01-30 01:24:37 [0] Thread Thread-3 logging DEBUG msg:13
0000000070 2025-01-30 01:24:37 [0] Thread Thread-0 logging DEBUG msg:13
0000000071 2025-01-30 01:24:37 [1] Thread Thread-4 logging INFO  msg:14
